name,type,start_time,duration,"identifier","num_data_bytes","extended","data","crc","ack"
"CAN","data_field",2023-08-25T05:19:05.230791144+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.230827144+00:00,3.6e-05,,,,0x00,,
"CAN","crc_field",2023-08-25T05:19:05.230867144+00:00,5.6e-05,,,,,0x0000000000001522,
"CAN","ack_field",2023-08-25T05:19:05.230931144+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.235947088+00:00,0.000144,0x000000000CF00400,,true,,,
"CAN","control_field",2023-08-25T05:19:05.236095088+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.236111088+00:00,3.2e-05,,,,0xFE,,
"CAN","data_field",2023-08-25T05:19:05.236147088+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.236183088+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.236219088+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.236255088+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.236295088+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.236331088+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.236367088+00:00,3.2e-05,,,,0x7D,,
"CAN","crc_field",2023-08-25T05:19:05.236403088+00:00,6e-05,,,,,0x0000000000006D3F,
"CAN","ack_field",2023-08-25T05:19:05.236471088+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.236627288+00:00,0.000144,0x0000000018F00100,,true,,,
"CAN","control_field",2023-08-25T05:19:05.236775288+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.236791288+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.236827288+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.236867288+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.236903288+00:00,3.2e-05,,,,0xCF,,
"CAN","data_field",2023-08-25T05:19:05.236939288+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.236975288+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.237011288+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.237051288+00:00,3.2e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:19:05.237087288+00:00,6e-05,,,,,0x0000000000002FC2,
"CAN","ack_field",2023-08-25T05:19:05.237155288+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.245878960+00:00,0.000144,0x0000000018FEEF00,,true,,,
"CAN","control_field",2023-08-25T05:19:05.246026960+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.246042960+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.246078960+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.246118960+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.246154960+00:00,3.6e-05,,,,0xFE,,
"CAN","data_field",2023-08-25T05:19:05.246194960+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.246230960+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.246270960+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.246306960+00:00,3.6e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:19:05.246346960+00:00,5.6e-05,,,,,0x00000000000069ED,
"CAN","ack_field",2023-08-25T05:19:05.246410960+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.250510904+00:00,0.00014,0x0000000008FE6E0B,,true,,,
"CAN","control_field",2023-08-25T05:19:05.250654904+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.250670904+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.250710904+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.250746904+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.250786904+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.250826904+00:00,3.2e-05,,,,0x00,,
