name,type,start_time,duration,"identifier","num_data_bytes","extended","data","crc","ack"
"CAN","data_field",2023-08-25T05:27:11.782989580+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.783025580+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.783065580+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.783101580+00:00,3.6e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:27:11.783141580+00:00,5.6e-05,,,,,0x00000000000069ED,
"CAN","ack_field",2023-08-25T05:27:11.783205580+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:27:11.785573484+00:00,0.000136,0x0000000018F0010B,,true,,,
"CAN","control_field",2023-08-25T05:27:11.785713484+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:27:11.785729484+00:00,2.8e-05,,,,0xCF,,
"CAN","data_field",2023-08-25T05:27:11.785761484+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.785801484+00:00,3.2e-05,,,,0xF0,,
"CAN","data_field",2023-08-25T05:27:11.785837484+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.785873484+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.785913484+00:00,2.8e-05,,,,0xDC,,
"CAN","data_field",2023-08-25T05:27:11.785945484+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.785981484+00:00,3.6e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:27:11.786021484+00:00,5.6e-05,,,,,0x00000000000056AC,
"CAN","ack_field",2023-08-25T05:27:11.786085484+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:27:11.792765484+00:00,0.000144,0x000000000CF00400,,true,,,
"CAN","control_field",2023-08-25T05:27:11.792913484+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:27:11.792929484+00:00,3.2e-05,,,,0xFE,,
"CAN","data_field",2023-08-25T05:27:11.792965484+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:27:11.793001484+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:27:11.793037484+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.793073484+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.793113484+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.793149484+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.793185484+00:00,3.2e-05,,,,0x7D,,
"CAN","crc_field",2023-08-25T05:27:11.793221484+00:00,6e-05,,,,,0x0000000000006D3F,
"CAN","ack_field",2023-08-25T05:27:11.793289484+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:27:11.795625492+00:00,0.00014,0x0000000018FEBF0B,,true,,,
"CAN","control_field",2023-08-25T05:27:11.795769492+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:27:11.795785492+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.795825492+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.795861492+00:00,3.6e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:27:11.795901492+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:27:11.795937492+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:27:11.795973492+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:27:11.796009492+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.796045492+00:00,3.6e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:27:11.796085492+00:00,6e-05,,,,,0x0000000000007D87,
"CAN","ack_field",2023-08-25T05:27:11.796153492+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:27:11.796209476+00:00,0.00014,0x0000000008FE6E0B,,true,,,
"CAN","control_field",2023-08-25T05:27:11.796353476+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:27:11.796369476+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.796409476+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.796445476+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.796485476+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.796525476+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.796561476+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.796601476+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.796637476+00:00,3.6e-05,,,,0x00,,
"CAN","crc_field",2023-08-25T05:27:11.796677476+00:00,5.6e-05,,,,,0x0000000000001522,
"CAN","ack_field",2023-08-25T05:27:11.796741476+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:27:11.802781404+00:00,0.000144,0x0000000018FEF000,,true,,,
"CAN","control_field",2023-08-25T05:27:11.802933404+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:27:11.802949404+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.802985404+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.803025404+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:27:11.803061404+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:27:11.803097404+00:00,3.6e-05,,,,0x00,,
