name,type,start_time,duration,"identifier","extended","num_data_bytes","data","crc","ack"
"CAN","identifier_field",0.02045925,0.000136,0x0000000018FEF131,true,,,,
"CAN","control_field",0.02059925,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.02061525,2.8e-05,,,,0xF7,,
"CAN","data_field",0.02064725,3.6e-05,,,,0xFF,,
"CAN","data_field",0.02068725,3.2e-05,,,,0xFF,,
"CAN","data_field",0.02072325,3.2e-05,,,,0xC3,,
"CAN","data_field",0.02075925,2.8e-05,,,,0xCC,,
"CAN","data_field",0.02079125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.02082725,3.6e-05,,,,0xFF,,
"CAN","data_field",0.02086725,3.2e-05,,,,0xF0,,
"CAN","crc_field",0.02090725,6e-05,,,,,0x000000000000031F,
"CAN","ack_field",0.02097925,4e-06,,,,,,true
"CAN","identifier_field",0.02104325,0.00014,0x0000000018FEF031,true,,,,
"CAN","control_field",0.02118725,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.02120325,3.2e-05,,,,0xFF,,
"CAN","data_field",0.02123925,3.6e-05,,,,0xFF,,
"CAN","data_field",0.02127925,3.2e-05,,,,0xFF,,
"CAN","data_field",0.02131525,3.6e-05,,,,0xFF,,
"CAN","data_field",0.02135525,3.2e-05,,,,0xFF,,
"CAN","data_field",0.02139525,3.2e-05,,,,0xFC,,
"CAN","data_field",0.02143125,2.8e-05,,,,0xCC,,
"CAN","data_field",0.02146325,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.02149925,6e-05,,,,,0x000000000000638F,
"CAN","ack_field",0.02156725,4e-06,,,,,,true
"CAN","identifier_field",0.0216355625,0.000144,0x0000000018FF4831,true,,,,
"CAN","control_field",0.0217835625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0217995625,3.6e-05,,,,0x00,,
"CAN","data_field",0.0218395625,3.2e-05,,,,0x00,,
"CAN","data_field",0.0218755625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0219115625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0219515625,3.2e-05,,,,0x00,,
"CAN","data_field",0.0219875625,3.6e-05,,,,0x00,,
"CAN","data_field",0.0220275625,3.2e-05,,,,0x00,,
"CAN","data_field",0.0220635625,3.6e-05,,,,0x00,,
"CAN","crc_field",0.0221035625,6e-05,,,,,0x0000000000001F94,
"CAN","ack_field",0.0221715625,4e-06,,,,,,true
"CAN","identifier_field",0.0222438125,0.000136,0x0000000018FEF231,true,,,,
"CAN","control_field",0.0223838125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0223998125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0224358125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0224758125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0225118125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0225518125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0225918125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0226278125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0226678125,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.0227038125,5.6e-05,,,,,0x0000000000002496,
"CAN","ack_field",0.0227678125,4e-06,,,,,,true
"CAN","identifier_field",0.0228400625,0.000136,0x000000000CF00331,true,,,,
"CAN","control_field",0.0229800625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0229960625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0230320625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0230720625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0231080625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0231480625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0231880625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0232240625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0232640625,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.0233000625,5.6e-05,,,,,0x00000000000022DE,
"CAN","ack_field",0.0233640625,4e-06,,,,,,true
"CAN","identifier_field",0.0277770625,0.000148,0x0000000018FEDF00,true,,,,
"CAN","control_field",0.0279290625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0279450625,2.8e-05,,,,0x85,,
"CAN","data_field",0.0279770625,2.8e-05,,,,0xA0,,
"CAN","data_field",0.0280130625,2.8e-05,,,,0x28,,
"CAN","data_field",0.0280450625,3.2e-05,,,,0x7D,,
"CAN","data_field",0.0280810625,3.2e-05,,,,0x7D,,
"CAN","data_field",0.0281170625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0281530625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0281930625,3.2e-05,,,,0xF0,,
"CAN","crc_field",0.0282290625,6e-05,,,,,0x0000000000001C6B,
"CAN","ack_field",0.0282970625,4e-06,,,,,,true
"CAN","identifier_field",0.028805375,0.00014,0x000000000CF00203,true,,,,
"CAN","control_field",0.028949375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.028965375,3.2e-05,,,,0xC0,,
"CAN","data_field",0.029001375,3.2e-05,,,,0x00,,
"CAN","data_field",0.029037375,3.6e-05,,,,0x00,,
"CAN","data_field",0.029077375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.029113375,3.2e-05,,,,0xF7,,
"CAN","data_field",0.029149375,3.2e-05,,,,0xEC,,
"CAN","data_field",0.029185375,3.2e-05,,,,0x17,,
"CAN","data_field",0.029221375,3.2e-05,,,,0x03,,
"CAN","crc_field",0.029257375,5.6e-05,,,,,0x0000000000005E52,
"CAN","ack_field",0.029321375,4e-06,,,,,,true
"CAN","identifier_field",0.029413625,0.00014,0x000000000CF00C03,true,,,,
"CAN","control_field",0.029557625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.029573625,2.8e-05,,,,0xF4,,
"CAN","data_field",0.029605625,3.2e-05,,,,0x03,,
"CAN","data_field",0.029641625,2.8e-05,,,,0xD4,,
"CAN","data_field",0.029673625,3.2e-05,,,,0x18,,
"CAN","data_field",0.029709625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.029745625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.029785625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.029821625,3.6e-05,,,,0xFF,,
"CAN","crc_field",0.029861625,5.6e-05,,,,,0x0000000000000873,
"CAN","ack_field",0.029925625,4e-06,,,,,,true
"CAN","identifier_field",0.0316819375,0.000136,0x0000000018F0010B,true,,,,
"CAN","control_field",0.0318219375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0318379375,2.8e-05,,,,0xCF,,
"CAN","data_field",0.0318699375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0319099375,3.2e-05,,,,0xF0,,
"CAN","data_field",0.0319459375,3.2e-05,,,,0xFF,,
