name,type,start_time,duration,"identifier","extended","num_data_bytes","data","crc","ack"
"CAN","crc_field",0.01735825,6.4e-05,,,,,0x000000000000497C,
"CAN","ack_field",0.01743025,4e-06,,,,,,true
"CAN","identifier_field",0.0190025,0.00014,0x000000000CF00203,true,,,,
"CAN","control_field",0.0191465,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0191625,3.2e-05,,,,0xC0,,
"CAN","data_field",0.0191985,3.2e-05,,,,0x00,,
"CAN","data_field",0.0192345,3.6e-05,,,,0x00,,
"CAN","data_field",0.0192745,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0193105,3.2e-05,,,,0xF7,,
"CAN","data_field",0.0193465,2.8e-05,,,,0x4D,,
"CAN","data_field",0.0193785,2.8e-05,,,,0x18,,
"CAN","data_field",0.0194105,3.2e-05,,,,0x03,,
"CAN","crc_field",0.0194465,5.6e-05,,,,,0x0000000000000CDA,
"CAN","ack_field",0.0195105,4e-06,,,,,,true
"CAN","identifier_field",0.02304725,0.000144,0x000000000CF00400,true,,,,
"CAN","control_field",0.02319525,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.02321125,2.8e-05,,,,0x50,,
"CAN","data_field",0.02324325,3.6e-05,,,,0x7D,,
"CAN","data_field",0.02328325,2.8e-05,,,,0x8A,,
"CAN","data_field",0.02331525,3.2e-05,,,,0xFA,,
"CAN","data_field",0.02335125,2.8e-05,,,,0x18,,
"CAN","data_field",0.02338325,3.6e-05,,,,0x00,,
"CAN","data_field",0.02342325,3.2e-05,,,,0x0F,,
"CAN","data_field",0.02346325,2.8e-05,,,,0x8B,,
"CAN","crc_field",0.02349525,5.6e-05,,,,,0x00000000000022A7,
"CAN","ack_field",0.02355925,4e-06,,,,,,true
"CAN","identifier_field",0.0258675,0.000144,0x000000000C010305,true,,,,
"CAN","control_field",0.0260155,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0260315,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0260675,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0261075,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0261435,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0261835,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0262235,2.8e-05,,,,0xF3,,
"CAN","data_field",0.0262555,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0262955,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.0263315,6.4e-05,,,,,0x000000000000007D,
"CAN","ack_field",0.0264035,4e-06,,,,,,true
